"Planet Name","Pl. Mass","Pl. Radius","Pl. Period","Pl. Semi-axis","Pl. Ecc.","Pl. Incl.","Ang. Dist.","St. Dist","St. Spec. Type","St. Mass","St. [Fe/H]","St. Right Asc.","St. Decli.","St. Mag. V.","St. Mag. I","St. Mag. H","St. Mag. J","St. Mag. K","St. Radius",
"Gl 581 b","0.0492",,"5.36874","0.041","0.0",,"0.00655","6.26","M3","0.31","-0.33","15 19 26","-07 43 20","10.55",,,,,"0.38",
"Gl 581 c","0.01686",,"12.9292","0.07","0.17",,"0.011182","6.26","M3","0.31","-0.33","15 19 26","-07 43 20","10.55",,,,,"0.38",
"Gl 581 d","0.02231",,"66.8","0.22","0.38",,"0.035144","6.26","M3","0.31","-0.33","15 19 26","-07 43 20","10.55",,,,,"0.38",
"Gl 581 e","0.006104",,"3.14942","0.03","0.0",,"0.004792","6.26","M3","0.31","-0.33","15 19 26","-07 43 20","10.55",,,,,"0.38",
"Gl 649 b","0.328",,"598.3","1.135","0.3",,"0.109768","10.34","M1.5","0.54","0.08","16 58 09","+25 44 39","9.7",,,,,,
"Gl 785 b","0.068",,"74.39","0.319","0.3",,"0.035798","8.911","K1V","0.78","0.08","20 15 17","-27 01 59","6.13",,,,,"0.68",
"Gl 86 b","4.01",,"15.766","0.11","0.046",,"0.01","11","K1V","0.79","-0.24","02 10 14","-50 50 00","6.17",,,,,"0.855",
"Gliese 876 b","2.2756",,"61.1166","0.208317","0.0324","48.93","0.044323","4.7","M4 V","0.334","0.05","22 53 13","-14 15 13","10.17",,,,,"0.36",
"Gliese 876 c","0.7142",,"30.0881","0.12959","0.25591","48.07","0.027572","4.7","M4 V","0.334","0.05","22 53 13","-14 15 13","10.17",,,,,"0.36",
"Gliese 876 d","0.021",,"1.93778","0.02080665","0.207","50","0.004427","4.7","M4 V","0.334","0.05","22 53 13","-14 15 13","10.17",,,,,"0.36",
"Gliese 876 e","0.046",,"124.26","0.3343","0.055","59.5","0.071128","4.7","M4 V","0.334","0.05","22 53 13","-14 15 13","10.17",,,,,"0.36",
"GQ Lup b","21.5","1.8",,"103",,,"0.735714","140","K7eV","0.7",,"15 49 12","-35 39 03","11.4",,,,,,
"GSC 06214-00210 b","13.5",,,"320",,,"2.206897","145","M1","0.6",,"16 21 55","-20 43 07",,,,,"9.15",,
"HAT-P-1 b","0.524","1.217","4.4652934","0.05535","0.067","86.28","0.000398","139","GOV","1.133","0.13","22 57 47","+38 40 30","10.4",,,,,"1.115",
"HAT-P-11 b","0.081","0.452","4.887804","0.053","0.198","88.5","0.001395","38","K4","0.81","0.31","19 50 50","+48 04 51","9.59",,,,,"0.75",
"HAT-P-12 b","0.211","0.959","3.2130598","0.0384","0.0",,"0.000269","142.5",,"0.73","-0.29","13 57 34","+43 29 37","12.84",,,,,"0.7",
"HAT-P-13 b","0.85","1.28","2.916293","0.0426","0.0142","83.3","0.000199","214","G4","1.22","0.43","08 39 32","+47 21 07","10.62",,,,,"1.56",
"HAT-P-13 c","14.5",,"448.2","1.186","0.666",,"0.005542","214","G4","1.22","0.43","08 39 32","+47 21 07","10.62",,,,,"1.56",
"HAT-P-14 b","2.2","1.2","4.627657","0.0594","0.095","83.2","0.00029","205","F","1.386","0.11","17 20 28","+38 14 32","9.98",,,,,"1.468",
"HAT-P-15 b","1.946","1.072","10.863502","0.0964","0.19","89.1","0.000507","190","G5","1.013","0.22","04 24 60","+39 27 38","12.16",,,,,"1.08",
"HAT-P-16 b","4.193","1.289","2.77596","0.0413","0.036","86.6","0.000176","235","F8","1.218","0.17","00 38 18","+42 27 47","10.8",,,,,"1.237",
"HAT-P-17 b","0.53","1.01","10.338523","0.0882","0.346","89.2","0.00098","90","K","0.857",,"21 38 09","+30 29 19","10.54",,,,,"0.837",
"HAT-P-17 c","1.4",,"1798","2.75","0.1",,"0.030556","90","K","0.857",,"21 38 09","+30 29 19","10.54",,,,,"0.837",
"HAT-P-18 b","0.197","0.995","5.508023","0.0559","0.084","88.8","0.000337","166","K","0.77","0.1","17 05 24","+33 00 45","12.76",,,,,"0.749",
"HAT-P-19 b","0.292","1.132","4.008778","0.0466","0.067","88.2","0.000217","215","K","0.842","0.23","00 38 04","+34 42 42","12.9",,,,,"0.82",
"HAT-P-2 b","8.74","1.19","5.6334729","0.0674","0.5171","86.72","0.000571","118","F8","1.36","0.14","16 20 36","+41 02 53","8.71",,,,,"1.64",
"HAT-P-20 b","7.246","0.867","2.875317","0.0361",,,,,,,,,,,,,,,,
"HAT-P-21 b","4.063","1.024","4.124461","0.0494",,,,,,,,,,,,,,,,
"HAT-P-22 b","2.147","1.08","3.21222","0.0414",,,,,,,,,,,,,,,,
"HAT-P-23 b","2.09","1.368","1.212884","0.0232",,,,,,,,,,,,,,,,
"HAT-P-24 b","0.685","1.242","3.35524","0.0465","0.067","88.6","0.000152","306",,"1.191","-0.16","07 15 18","+14 15 44","11.82",,,,,"1.317",
"HAT-P-25 b","0.567","1.19","3.652836","0.0466","0.032","87.6","0.000157","297","G5","1.01","0.31","03 13 45","+25 11 51","13.19",,,,,"0.959",
"HAT-P-26 b","0.059","0.565","4.234516","0.0479","0.124","88.6","0.000357","134","K1","0.816","-0.04",,,"11.74",,,,,"0.788",
"HAT-P-3 b","0.599","0.89","2.899703","0.03894","0.0","87.24","0.000278","140","K","0.936","0.27","13 44 23","+48 01 43","11.86",,"9.542","9.936","9.448","0.824",
